LAD11CD,earnings_2001_la,earnings_2011_la
E09000001,84912,39523.6
E09000007,21589,32413
E09000033,26327,39808
E09000013,21589,29412
E09000020,40502,60199
E09000032,19960,28337
E09000012,10178,16844
E09000025,8693,14140
E09000030,15537,20417
E09000014,16688,22704
E09000019,19915,26904
E09000023,11601,17576
E09000028,13417,19737
E09000022,13809,19863
E09000004,13919,17806
E09000011,15592,19069
E09000002,10297,14027
E09000016,14203,18755
E09000026,13804,17550
E09000031,12943,16985
E09000010,13340,17644
E09000006,16879,22797
E09000008,12999,18073
E09000021,17501,22633
E09000024,18949,25367
E09000029,13783,18463
E09000003,15713,21766
E09000005,13479,18603
E09000009,15369,20308
E09000015,16118,21231
E09000017,13047,17645
E09000018,16230,20162
E09000027,25183,32101
E06000023,12118,15581
E06000022,13990,18532
E06000024,13760,18137
E06000025,13052,17233
E07000078,14382,19055
E07000079,17434,22215
E07000080,10839,15176
E07000081,11187,15011
E07000082,13798,18171
E07000083,14476,18969
E06000030,13427,16274
E06000054,13774,17908
E06000058,13529,17165
E06000059,13547,18434
E07000187,13022,17748
E07000188,12231,16578
E07000189,12842,17175
E07000246,12363,16985
E06000052,11407,15670
E06000053,14624,18989
E06000026,10570,14269
E06000027,11300,15397
E07000040,13123,17645
E07000041,10777,15360
E07000042,12781,16862
E07000043,11789,15971
E07000044,14156,19280
E07000045,12109,16854
E07000046,11630,15907
E07000047,13690,17943